City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jawad,IN,63.86,clear sky,24.6,74.85,हर मंदिर जावद
1,Mahebourg,MU,77.0,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
2,Busselton,AU,55.99,few clouds,-33.65,115.33,Observatory Guest House
3,Avarua,CK,73.4,broken clouds,-21.21,-159.78,Paradise Inn
4,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
5,Lafia,NG,88.0,overcast clouds,8.48,8.52,Low Cost Housing Estate
7,Sierra Vista,US,60.01,clear sky,31.55,-110.3,Holiday Inn Express Sierra Vista
8,Sola,VU,78.64,overcast clouds,-13.88,167.55,Ulkel Guest House
11,Puerto Ayora,EC,75.2,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
13,Manavalakurichi,IN,84.2,light rain,8.13,77.3,Udaya Boys Hostel
14,Jiwani,PK,75.13,light rain,25.05,61.74,Al Mumtaz Transport Jiwani
15,Hobart,AU,62.6,scattered clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
16,Butaritari,KI,81.37,clear sky,3.07,172.79,Isles Sunset Lodge
18,Imbituba,BR,80.6,few clouds,-28.24,-48.67,Praia Hotel Imbituba
19,Souillac,MU,77.0,shower rain,-20.52,57.52,Bils' Villa
22,Vaini,TO,69.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
23,Ribeira Grande,PT,59.0,scattered clouds,38.52,-28.7,Quinta da Meia Eira
24,Sambava,MG,75.97,light rain,-14.27,50.17,Melrose
25,Carnarvon,AU,73.4,clear sky,-24.87,113.63,Hospitality Carnarvon
26,Guerrero Negro,MX,66.85,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
27,Luanda,AO,84.2,broken clouds,-8.84,13.23,EPIC SANA Luanda
29,Bredasdorp,ZA,60.8,broken clouds,-34.53,20.04,Bredasdorp Country Manor
30,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
32,Bengkulu,ID,75.54,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
33,Port Alfred,ZA,66.11,clear sky,-33.59,26.89,The Halyards Hotel
34,Kapaa,US,71.6,very heavy rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
35,Ballina,AU,69.8,overcast clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
37,Rikitea,PF,73.87,overcast clouds,-23.12,-134.97,Pension Maro'i
39,Punta Arenas,CL,51.8,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
40,Cidreira,BR,76.19,clear sky,-30.18,-50.21,Hotel Castelo
42,Richards Bay,ZA,74.08,light rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
44,Hermanus,ZA,59.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
45,General Pico,AR,78.89,broken clouds,-35.66,-63.76,Hotel Malargue
