Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jawad,IN,24.6,74.85,63.86,32,0,4.63,clear sky
1,Mahebourg,MU,-20.41,57.7,77.0,78,40,11.41,shower rain
2,Busselton,AU,-33.65,115.33,55.99,88,23,1.99,few clouds
3,Avarua,CK,-21.21,-159.78,73.4,88,66,1.12,broken clouds
4,Alofi,NU,-19.06,-169.92,75.2,94,90,6.93,overcast clouds
5,Lafia,NG,8.48,8.52,88.0,34,99,3.8,overcast clouds
6,Mataura,NZ,-46.19,168.86,43.0,94,0,2.35,clear sky
7,Sierra Vista,US,31.55,-110.3,60.01,30,1,17.22,clear sky
8,Sola,VU,-13.88,167.55,78.64,86,90,6.55,overcast clouds
9,Hauterive,FR,46.09,3.45,46.4,75,20,2.44,few clouds
10,Thompson,CA,55.74,-97.86,8.6,84,90,6.93,light snow
11,Puerto Ayora,EC,-0.74,-90.35,75.2,78,90,9.17,overcast clouds
12,Tuktoyaktuk,CA,69.45,-133.04,5.0,84,20,9.17,few clouds
13,Manavalakurichi,IN,8.13,77.3,84.2,79,40,1.12,light rain
14,Jiwani,PK,25.05,61.74,75.13,71,0,7.07,light rain
15,Hobart,AU,-42.88,147.33,62.6,63,27,10.29,scattered clouds
16,Butaritari,KI,3.07,172.79,81.37,79,8,14.9,clear sky
17,Ushuaia,AR,-54.8,-68.3,44.6,70,75,18.34,light intensity drizzle
18,Imbituba,BR,-28.24,-48.67,80.6,51,20,18.34,few clouds
19,Souillac,MU,-20.52,57.52,77.0,78,40,11.41,shower rain
20,Lavrentiya,RU,65.58,-171.0,34.27,95,100,34.63,overcast clouds
21,Eenhana,NA,-17.47,16.33,88.48,21,20,8.46,few clouds
22,Vaini,TO,-21.2,-175.2,69.8,94,75,3.36,broken clouds
23,Ribeira Grande,PT,38.52,-28.7,59.0,58,40,11.41,scattered clouds
24,Sambava,MG,-14.27,50.17,75.97,83,95,9.57,light rain
25,Carnarvon,AU,-24.87,113.63,73.4,69,0,14.99,clear sky
26,Guerrero Negro,MX,27.98,-114.06,66.85,64,21,11.92,few clouds
27,Luanda,AO,-8.84,13.23,84.2,70,75,6.93,broken clouds
28,Garissa,KE,-0.45,39.64,90.61,42,38,7.05,scattered clouds
29,Bredasdorp,ZA,-34.53,20.04,60.8,59,70,14.99,broken clouds
30,Georgetown,MY,5.41,100.34,78.8,83,20,2.24,few clouds
31,Krasnoselkup,RU,65.7,82.47,6.53,95,94,10.25,overcast clouds
32,Bengkulu,ID,-3.8,102.27,75.54,91,100,4.7,overcast clouds
33,Port Alfred,ZA,-33.59,26.89,66.11,65,10,19.91,clear sky
34,Kapaa,US,22.08,-159.32,71.6,94,90,24.16,very heavy rain
35,Ballina,AU,-28.87,153.57,69.8,83,90,8.05,overcast clouds
36,Belaya Gora,RU,68.53,146.42,-1.5,92,100,14.0,overcast clouds
37,Rikitea,PF,-23.12,-134.97,73.87,76,100,12.41,overcast clouds
38,Yerbogachen,RU,61.28,108.01,10.44,95,100,7.36,light snow
39,Punta Arenas,CL,-53.15,-70.92,51.8,50,75,23.04,broken clouds
40,Cidreira,BR,-30.18,-50.21,76.19,71,4,17.31,clear sky
41,Vardo,NO,70.37,31.11,35.6,74,75,6.93,broken clouds
42,Richards Bay,ZA,-28.78,32.04,74.08,78,79,11.32,light rain
43,Kearns,US,40.66,-112.0,36.0,86,75,6.93,broken clouds
44,Hermanus,ZA,-34.42,19.23,59.0,66,63,3.0,broken clouds
45,General Pico,AR,-35.66,-63.76,78.89,56,62,9.22,broken clouds
46,Maralal,KE,1.1,36.7,65.79,61,59,11.23,broken clouds
47,Atuona,PF,-9.8,-139.03,78.55,73,34,15.39,scattered clouds
48,Araioses,BR,-2.89,-41.9,89.6,62,20,9.33,few clouds
49,Portland,US,45.52,-122.68,45.0,81,90,2.17,overcast clouds
50,Airai,TL,-8.93,125.41,61.75,100,84,0.83,broken clouds
51,Kodiak,US,57.79,-152.41,39.2,64,1,3.36,clear sky
52,Jamestown,US,42.1,-79.24,37.99,69,90,3.36,overcast clouds
53,Naica,MX,27.85,-105.48,73.99,24,37,29.48,scattered clouds
54,Comodoro Rivadavia,AR,-45.87,-67.5,68.0,28,75,16.11,broken clouds
55,Rize,TR,40.9,40.89,26.98,94,7,1.77,clear sky
56,Khatanga,RU,71.97,102.5,10.49,96,99,6.8,overcast clouds
57,Sur,OM,22.57,59.53,75.29,67,10,9.4,clear sky
58,Kodinsk,RU,58.69,99.18,6.66,93,38,2.19,scattered clouds
59,Esperance,AU,-33.87,121.9,62.6,82,90,17.22,overcast clouds
60,Ngunguru,NZ,-35.62,174.5,66.0,95,100,7.0,overcast clouds
61,Faanui,PF,-16.48,-151.75,80.29,78,25,9.4,scattered clouds
62,Tasiilaq,GL,65.61,-37.64,21.2,73,75,4.7,light shower snow
63,Myrtle Beach,US,33.69,-78.89,59.0,37,1,3.36,clear sky
64,Bluff,NZ,-46.6,168.33,43.0,94,6,5.12,clear sky
65,Arraial Do Cabo,BR,-22.97,-42.03,78.8,78,75,16.11,broken clouds
66,Dikson,RU,73.51,80.55,14.67,96,100,23.29,overcast clouds
67,Provideniya,RU,64.38,-173.3,32.02,98,100,16.31,overcast clouds
68,Tautira,PF,-17.73,-149.15,80.6,78,40,5.82,scattered clouds
69,Macheng,CN,31.18,115.03,48.0,78,100,4.21,overcast clouds
70,Walvis Bay,NA,-22.96,14.51,63.0,79,62,8.99,broken clouds
71,Barrow,US,71.29,-156.79,10.4,85,90,13.87,light snow
72,Hearst,CA,49.68,-83.67,6.8,84,95,4.7,overcast clouds
73,Shenjiamen,CN,29.96,122.3,60.51,83,100,8.12,overcast clouds
74,Kavaratti,IN,10.57,72.64,82.54,69,34,5.3,scattered clouds
75,Coahuayana,MX,18.73,-103.68,80.6,61,5,11.41,clear sky
76,Saint-Augustin,CA,51.23,-58.65,36.28,94,100,9.53,light rain
77,Khed Brahma,IN,24.03,73.05,67.46,28,1,4.18,clear sky
78,Port Elizabeth,ZA,-33.92,25.57,64.4,72,75,26.4,broken clouds
