City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Provideniya,RU,2020-11-20 01:14:29,64.38,-173.3,32.0,98,90,15.66
1,Rikitea,PF,2020-11-20 01:11:00,-23.12,-134.97,71.78,76,2,14.7
2,Victoria,HK,2020-11-20 01:10:26,22.29,114.16,78.01,85,0,6.24
3,Tiksi,RU,2020-11-20 01:14:30,71.69,128.87,2.7,88,100,20.58
4,Albany,US,2020-11-20 01:14:30,42.6,-73.97,42.01,48,100,3.0
5,Saint Anthony,US,2020-11-20 01:14:30,45.02,-93.22,48.2,75,1,3.36
6,Chitipa,MW,2020-11-20 01:14:30,-9.7,33.27,66.99,52,0,3.47
7,Hithadhoo,MV,2020-11-20 01:14:31,-0.6,73.08,81.23,73,99,6.35
8,Bilibino,RU,2020-11-20 01:14:31,68.05,166.44,10.56,88,100,2.21
9,Esperance,AU,2020-11-20 01:14:31,-33.87,121.9,66.2,77,40,10.29
10,Faya,SA,2020-11-20 01:14:31,18.39,42.45,53.6,81,0,1.34
11,Cidreira,BR,2020-11-20 01:11:01,-30.18,-50.21,64.76,66,19,7.23
12,Pondicherry,IN,2020-11-20 01:14:31,11.93,79.83,77.11,84,23,7.76
13,Thompson,CA,2020-11-20 01:14:32,55.74,-97.86,10.4,85,40,8.05
14,Paka,MY,2020-11-20 01:14:32,4.64,103.44,77.0,100,40,2.24
15,Hobart,AU,2020-11-20 01:09:42,-42.88,147.33,66.99,59,75,23.04
16,Kaitangata,NZ,2020-11-20 01:12:26,-46.28,169.85,64.99,69,100,3.0
17,Castro,BR,2020-11-20 01:14:32,-24.79,-50.01,53.31,97,36,8.3
18,Punta Arenas,CL,2020-11-20 01:12:04,-53.15,-70.92,55.4,66,75,13.87
19,Tuktoyaktuk,CA,2020-11-20 01:14:33,69.45,-133.04,-0.4,84,20,8.05
20,Kudahuvadhoo,MV,2020-11-20 01:14:33,2.67,72.89,82.24,68,100,6.38
21,Henties Bay,NA,2020-11-20 01:14:33,-22.12,14.28,57.0,89,11,4.0
22,Salina,US,2020-11-20 01:13:07,38.84,-97.61,62.01,41,1,4.7
23,Hermanus,ZA,2020-11-20 01:13:40,-34.42,19.23,60.01,82,0,5.01
24,Cherskiy,RU,2020-11-20 01:11:55,68.75,161.3,5.0,95,84,3.49
25,Bredasdorp,ZA,2020-11-20 01:14:34,-34.53,20.04,51.8,93,0,3.36
26,Brokopondo,SR,2020-11-20 01:14:34,4.75,-55.17,77.67,85,100,9.89
27,Dikson,RU,2020-11-20 01:14:34,73.51,80.55,17.55,97,100,24.23
28,Rajshahi,BD,2020-11-20 01:14:35,24.37,88.6,71.22,70,1,2.28
29,Kapaa,US,2020-11-20 01:14:35,22.08,-159.32,80.6,78,90,14.99
30,Barrow,US,2020-11-20 01:11:28,71.29,-156.79,21.2,85,90,14.99
31,Vestmannaeyjar,IS,2020-11-20 01:12:02,63.44,-20.27,42.19,80,100,15.55
32,Ribeira Grande,PT,2020-11-20 01:11:50,38.52,-28.7,59.61,69,0,11.48
33,Ahipara,NZ,2020-11-20 01:14:35,-35.17,173.17,65.41,53,98,8.7
